x,y
1748548.449,5431908.79
1748549.975,5431908.45
1748551.39,5431907.762
1748553.258,5431905.971
1748554.87,5431904.154
1748555.766,5431900.187
1748556.406,5431890.489
1748557.992,5431873.906
1748559.784,5431856.556
1748560.756,5431843.812
1748562.189,5431833.474
1748563.98,5431820.269
1748564.953,5431813.82
1748566.335,5431805.734
1748566.898,5431803.482
1748570.327,5431796.419
1748571.931,5431794.079
1748577.053,5431785.94
1748579.929,5431780.294
1748580.841,5431776.96
1748581.344,5431774.287
1748581.441,5431772.606
1748581.302,5431770.615
1748580.967,5431768.344
1748580.401,5431765.514
1748578.64,5431760.797
1748575.035,5431755.679
1748569.841,5431748.463
1748563.315,5431739.225
1748557.941,5431732.06
1748549.496,5431720.442
1748547.833,5431717.748
1748544.992,5431713.603
1748539.056,5431705.599
1748530.15,5431694.084
1748521.552,5431683.233
1748513.875,5431674.021
1748509.934,5431668.442
1748506.249,5431663.068
1748502.052,5431655.289
1748498.111,5431647.765
1748495.245,5431642.289
1748486.237,5431619.514
1748481.017,5431605.234
1748474.21,5431588.038
1748468.427,5431573.81
1748462.387,5431563.829
1748452.714,5431548.271
1748442.171,5431530.357
1748430.251,5431511.08
1748417.893,5431491.52
1748412.201,5431482.715
1748409.167,5431477.943
1748401.211,5431465.207
1748400.459,5431464.386
1748399.343,5431462.298
1748397.277,5431458.597
1748394.54,5431451.316
1748393.384,5431445.416
1748393.25,5431440.508
1748394.47,5431430.712
1748397.081,5431409.674
1748400.254,5431392.17
1748400.558,5431390.907
1748401.612,5431383.91
1748402.148,5431377.481
1748401.533,5431370.498
1748400.605,5431366.268
1748397.366,5431357.841
1748390.837,5431343.498
1748386.691,5431333.62
1748384.842,5431328.547
1748384.414,5431325.943
1748384.26,5431322.872
1748384.644,5431320.262
1748385.508,5431317.747
1748388.508,5431311.894
1748390.76,5431308.362
1748393.37,5431305.163
1748396.492,5431302.144
1748401.969,5431297.026
1748406.191,5431294.781
1748417.785,5431288.896
1748430.086,5431283.457
1748449.093,5431275.875
1748457.589,5431273.009
1748459.77,5431271.882
1748470.768,5431270.527
1748478.406,5431270.162
1748485.492,5431270.573
1748503.135,5431274.236
1748518.662,5431279.587
1748527.532,5431281.621
1748532.898,5431281.598
1748537.471,5431280.739
1748540.904,5431279.682
1748544.209,5431278.243
1748547.67,5431276.295
1748550.936,5431274.041
1748553.108,5431272.026
1748555.083,5431269.829
1748557.551,5431266.417
1748558.812,5431264.148
1748559.675,5431262.295
1748561.627,5431256.498
1748562.059,5431254.506
1748562.683,5431249.003
1748562.239,5431243.498
1748560.455,5431235.462
1748555.627,5431218.658
1748554.85,5431215.259
1748554.448,5431211.668
1748554.408,5431207.985
1748554.852,5431204.566
1748555.886,5431200.154
1748557.489,5431196.273
