fid,street_1,street_2,x,y,ruler
1,Kaiwharawhara Road,Hutt Road,1749912.06,5430822.44,Bottomleft
2,Kaiwharawhara Road,Old Porirua Road,1749668.963,5431079.406,Topright
3,Kaiwharawhara Road,Old Porirua Road,1749650.973,5431089.75,Topright
4,Ngaio Gorge Road,Perth Street,1748476.196,5431279.422,Topright
5,Ngaio Gorge Road,Perth Street,1748461.906,5431280.429,Topright
6,Ngaio Gorge Road,Trelissick Crescent,1748458.814,5431272.233,Bottomleft
7,Ngaio Gorge Road,Trelissick Crescent,1748444.224,5431277.491,Bottomleft
9,Kenya Street,Trelissick Crescent,1748383.625,5431327.364,Bottomleft
10,Ngaio Gorge Road,Kenya Street,1748394.214,5431321.551,Topright
11,Kaiwharawhara Road,Ngaio Gorge Road,1749066.529,5431182.391,Bottomleft
12,Kenya Street,Crofton Road,1748587.606,5431757.751,Topright
13,Kenya Street,Crofton Road,1748584.45,5431770.779,Bottomleft
14,Crofton Road,Abbott Street,1748584.869,5431794.412,Topright
15,Crofton Road,Waikowhai Street,1748554.042,5431912.567,Bottomleft
16,Crofton Road,Ottawa Road,1748563.806,5431918.344,Topright
17,Kaiwharawhara Road,Hutt Road,1749928.894,5430829.092,Topright
18,Kaiwharawhara Road,Cameron Street,1749812.587,5430942.588,Topright
19,Kaiwharawhara Road,Cameron Street,1749805.413,5430949.288,Topright
